"target","n","k","RMSPE","CRPS","coverage_95","mean_interval_width","mean_error","MAE","bias","cor","slope","model","diagnostics_passed","rep_id","eff_range","prior_scale"
"observed",49,5,25.7900612584918,14.7505115066957,0.938775510204082,103.572097983763,-0.142314351623459,20.6481224140057,-0.142314351623459,0.97930432359555,1.00067398638336,"nonspatial",TRUE,5,50,500
"latent",49,5,22.2336588681178,13.3838452720111,0.795918367346939,57.6709149170013,0.589053734572805,17.8447692666006,0.589053734572805,0.982883321596933,0.957172595564578,"spatial",TRUE,6,50,500
"observed",49,5,27.9934569334459,15.9865274860757,0.918367346938776,108.335220718169,-0.0649096427188259,22.1852216509637,-0.0649096427188259,0.973622767607712,0.990551154763426,"spatial",TRUE,6,50,500
"latent",49,5,22.0834901927099,15.2455294844353,0.346938775510204,23.4240316400727,0.557030769930319,17.7340763994079,0.557030769930319,0.983083790373081,0.958109117113564,"nonspatial",TRUE,6,50,500
"observed",49,5,28.0971310298582,16.0636234569841,0.938775510204082,108.328390423972,-0.228131196353774,22.3702581022363,-0.228131196353774,0.973420300723485,0.991134258394899,"nonspatial",TRUE,6,50,500
"latent",49,5,18.2298885657554,10.6572581595461,0.857142857142857,60.186108544074,1.26807168779779,14.7044086431029,1.26807168779779,0.988354519509934,0.985098025867443,"spatial",TRUE,7,50,500
"observed",49,5,27.2167024839349,15.2595814847597,0.918367346938776,108.588679725489,-0.166388337304438,20.6061192812989,-0.166388337304438,0.974582374213573,0.991875202889606,"spatial",TRUE,7,50,500
"latent",49,5,18.1744849775463,12.2051975394065,0.448979591836735,23.2742155799193,1.2173130836224,14.7406331529914,1.2173130836224,0.988409871957927,0.985918299355987,"nonspatial",TRUE,7,50,500
"observed",49,5,27.1140525200258,15.1910553325373,0.918367346938776,107.454437147456,-0.272455546119383,20.6886702550636,-0.272455546119383,0.974767141846757,0.993365464355595,"nonspatial",TRUE,7,50,500
"latent",49,5,17.4362402509556,10.4898592790521,0.857142857142857,51.8580858903539,-1.1676240472412,14.6193141207158,-1.1676240472412,0.989358509925589,0.988918810503649,"spatial",TRUE,8,50,500
"observed",49,5,23.3302644267214,13.2261786599975,0.938775510204082,93.3573501214559,0.119551971846879,18.8587961426613,0.119551971846879,0.981663705391162,1.00718873804292,"spatial",TRUE,8,50,500
"latent",49,5,17.3769291884447,12.2162881590644,0.346938775510204,19.9566216042401,-1.2134291211994,14.5200456142914,-1.2134291211994,0.989427845696258,0.989645583353051,"nonspatial",TRUE,8,50,500
"observed",49,5,23.1921200080012,13.1320460825367,0.938775510204082,93.4232531457394,0.120916568219904,18.7953892556926,0.120916568219904,0.981876815476997,1.00630860869355,"nonspatial",TRUE,8,50,500
"latent",49,5,20.9528632218313,12.8991449818578,0.857142857142857,55.7167069177334,0.525515218650652,17.7965439474582,0.525515218650652,0.985173068354067,0.982992812069323,"spatial",TRUE,9,50,500
"observed",49,5,26.1656094725577,15.2425074973983,0.959183673469388,98.6282984672079,-0.261333231876586,22.1105108239983,-0.261333231876586,0.976977068799142,0.978315352124563,"spatial",TRUE,9,50,500
"latent",49,5,20.9656940413806,15.1782983834448,0.244897959183673,21.2122739308415,0.472025282378459,17.8381195906639,0.472025282378459,0.98518327520369,0.981346120320753,"nonspatial",TRUE,9,50,500
"observed",49,5,26.2560782805864,15.2548555927185,0.979591836734694,98.0707699843887,-0.155221608338028,22.1927767803035,-0.155221608338028,0.976815557169725,0.97817702287498,"nonspatial",TRUE,9,50,500
"latent",49,5,20.3511399497967,12.2822939150136,0.775510204081633,53.625017119695,-0.580622656446368,16.7209216690595,-0.580622656446368,0.984909304744554,1.00606264490262,"spatial",TRUE,10,50,500
"observed",49,5,24.1627745917607,13.6841853700174,0.959183673469388,94.6773988950021,0.481982573510675,19.4172539198385,0.481982573510675,0.979124765624538,1.01040466203226,"spatial",TRUE,10,50,500
"latent",49,5,19.9337274923423,13.9688411133945,0.408163265306122,19.9114844785348,-0.70911678854265,16.3530470098851,-0.70911678854265,0.985536806371785,1.00654949181307,"nonspatial",TRUE,10,50,500
"observed",49,5,23.8026144182562,13.4803257668077,0.938775510204082,94.3766890312237,0.256255147334973,19.0003915197649,0.256255147334973,0.97975174140335,1.01110038524594,"nonspatial",TRUE,10,50,500
"latent",49,5,23.5908918408407,13.8085493697752,0.795918367346939,57.812277544785,-1.06282696272155,18.5418891859727,-1.06282696272155,0.979687906536757,1.03260807164151,"spatial",TRUE,1,150,500
"observed",49,5,29.3961990914485,16.375480290968,0.857142857142857,103.058559747447,0.260416133903965,22.3058509201942,0.260416133903965,0.968130029335815,1.02609852090656,"spatial",TRUE,1,150,500
"latent",49,5,23.6253441873775,15.7929734801079,0.387755102040816,22.0982365945923,-1.22297042145805,18.6126226845438,-1.22297042145805,0.979658814857764,1.03324456696775,"nonspatial",TRUE,1,150,500
"observed",49,5,29.4562669523442,16.4055049685577,0.857142857142857,102.363076094793,0.227804223139245,22.2849686365817,0.227804223139245,0.968009545759,1.02669194174981,"nonspatial",TRUE,1,150,500
"latent",49,5,24.341873652725,14.4780004238864,0.775510204081633,58.6348986299268,-0.311827995480009,19.3230356600761,-0.311827995480009,0.980455127814317,1.0455866444484,"spatial",TRUE,2,150,500
"observed",49,5,28.9364513236475,16.402382520174,0.897959183673469,107.266559190226,0.179888184057934,22.7923877995585,0.179888184057934,0.970334442426194,1.02084250837356,"spatial",TRUE,2,150,500
"latent",49,5,24.479163713028,16.5759642566931,0.346938775510204,23.1308919797345,-0.318650889213467,19.3459856485079,-0.318650889213467,0.980228759170873,1.04578614487305,"nonspatial",TRUE,2,150,500
"observed",49,5,28.8261680607734,16.334224824753,0.918367346938776,107.062911448065,0.0773009729321278,22.6377177443797,0.0773009729321278,0.970565891353106,1.02092881709691,"nonspatial",TRUE,2,150,500
"latent",49,5,25.6218174756307,15.1436299228733,0.816326530612245,68.6141842376723,-1.39396302668004,20.2775132915417,-1.39396302668004,0.977505581555871,0.993560645222961,"spatial",TRUE,3,150,500
"observed",49,5,31.6799601509075,18.3727342179213,0.918367346938776,124.708482686367,-0.0868825036438925,26.1326278825272,-0.0868825036438925,0.965685700511021,0.986194649987627,"spatial",TRUE,3,150,500
"latent",49,5,25.5231624192821,17.0192764565785,0.408163265306122,26.6530336986093,-1.51350863211211,20.1046894380927,-1.51350863211211,0.977691265216695,0.993873635574842,"nonspatial",TRUE,3,150,500
"observed",49,5,31.5945346831429,18.2726786526153,0.938775510204082,124.890424318895,-0.222186343469109,26.1776072536463,-0.222186343469109,0.965873025682051,0.986394321913761,"nonspatial",TRUE,3,150,500
"latent",49,5,24.5650868405269,14.5352031127393,0.755102040816326,71.2702626305328,0.706129184453998,19.4437848079887,0.706129184453998,0.97966897992029,1.04744168405874,"spatial",TRUE,4,150,500
"observed",49,5,30.0726015879718,17.2173095017101,0.938775510204082,118.095458406348,0.299717692806298,24.3355010064041,0.299717692806298,0.966753067298267,1.01598643873783,"spatial",TRUE,4,150,500
"latent",49,5,24.9635023121478,16.8415814360251,0.448979591836735,25.4193178167821,0.614014603744774,19.6221347232829,0.614014603744774,0.978957164774603,1.04742747621,"nonspatial",TRUE,4,150,500
"observed",49,5,30.6365986906431,17.5977931887535,0.938775510204082,118.764820414942,0.24257333335796,24.9314385512448,0.24257333335796,0.965460193873413,1.01561014510003,"nonspatial",TRUE,4,150,500
"latent",49,5,25.5710324958918,15.0931222505195,0.795918367346939,62.9576932755639,-0.445844808504491,19.8269656329027,-0.445844808504491,0.980095243122842,0.980452160098821,"spatial",TRUE,5,150,500
"observed",49,5,29.1538405586795,16.6145390485292,0.938775510204082,116.432399268051,-0.151125027408352,23.0870844832457,-0.151125027408352,0.975135928232263,1.00145007620807,"spatial",TRUE,5,150,500
"latent",49,5,25.4333612976802,17.0158800761757,0.387755102040816,25.3401444703499,-0.28870606993641,19.7117146546685,-0.28870606993641,0.98029048704576,0.981427480312435,"nonspatial",TRUE,5,150,500
