"fold","variable","rhat","ess_bulk","ess_tail","passed","model","iterations","burn_in","thin","prediction_draws","rep_id","eff_range","prior_scale"
1,"sigma_sq",1.00226516140698,1756.72663887443,2269.82589011774,TRUE,"spatial",10000,5001,10,2000,3,0,500
1,"eff_range",1.00258806781458,1536.94693734326,2160.13756862182,TRUE,"spatial",10000,5001,10,2000,3,0,500
1,"lp",1.00592711456699,1246.7217859251,1559.34026896984,TRUE,"spatial",10000,5001,10,2000,3,0,500
2,"tau_B_sq",1.00375509511711,1854.91692559207,2426.84410636698,TRUE,"spatial",10000,5001,10,2000,3,0,500
2,"sigma_sq",1.00519855768148,1755.56953060526,2608.89284543291,TRUE,"spatial",10000,5001,10,2000,3,0,500
2,"eff_range",1.00409103034637,1651.70401375012,1876.84753248951,TRUE,"spatial",10000,5001,10,2000,3,0,500
2,"lp",1.00435935748004,1417.85050091339,1843.0185698339,TRUE,"spatial",10000,5001,10,2000,3,0,500
3,"tau_B_sq",1.00139365966579,1818.86073224554,2080.56978931018,TRUE,"spatial",10000,5001,10,2000,3,0,500
3,"sigma_sq",1.0043702592698,1327.24274655518,1965.1317045026,TRUE,"spatial",10000,5001,10,2000,3,0,500
3,"eff_range",1.00158346142361,1867.01127050328,2643.54628828122,TRUE,"spatial",10000,5001,10,2000,3,0,500
3,"lp",1.00143130367511,1420.49353864458,1749.85204260647,TRUE,"spatial",10000,5001,10,2000,3,0,500
4,"tau_B_sq",1.00102123215369,1667.1964503833,1960.90788883579,TRUE,"spatial",10000,5001,10,2000,3,0,500
4,"sigma_sq",1.00140570823898,1735.40320368588,2062.41124226569,TRUE,"spatial",10000,5001,10,2000,3,0,500
4,"eff_range",1.00120206136225,1505.16493350978,1831.28660719343,TRUE,"spatial",10000,5001,10,2000,3,0,500
4,"lp",1.00062286721464,1474.79948507683,1983.40450458442,TRUE,"spatial",10000,5001,10,2000,3,0,500
5,"tau_B_sq",1.00129096990592,1567.04676280497,1802.84569750249,TRUE,"spatial",10000,5001,10,2000,3,0,500
5,"sigma_sq",1.00248898893081,1699.85333720217,2472.07509914975,TRUE,"spatial",10000,5001,10,2000,3,0,500
5,"eff_range",1.00248821316686,1570.5276009208,1891.06280898179,TRUE,"spatial",10000,5001,10,2000,3,0,500
5,"lp",1.00204596724508,1463.86440394274,1607.39295166137,TRUE,"spatial",10000,5001,10,2000,3,0,500
1,"tau_B_sq",1.00115508902319,3496.49330954909,3983.05546711203,TRUE,"nonspatial",10000,5001,10,2000,3,0,500
1,"lp",1.00110240582431,2847.33554494056,2701.65901782049,TRUE,"nonspatial",10000,5001,10,2000,3,0,500
2,"tau_B_sq",1.00070265697137,3770.87661831317,4046.12359400565,TRUE,"nonspatial",10000,5001,10,2000,3,0,500
2,"lp",1.00058686794617,3085.96029234622,2471.63688671352,TRUE,"nonspatial",10000,5001,10,2000,3,0,500
3,"tau_B_sq",1.00073327240118,3921.65656536558,4586.72747699075,TRUE,"nonspatial",10000,5001,10,2000,3,0,500
3,"lp",1.00249706689881,3042.71007506541,2693.66173506446,TRUE,"nonspatial",10000,5001,10,2000,3,0,500
4,"tau_B_sq",1.00102910160818,3537.83910279387,3643.01214631522,TRUE,"nonspatial",10000,5001,10,2000,3,0,500
4,"lp",1.00073277919581,2754.5338868487,2709.91450832448,TRUE,"nonspatial",10000,5001,10,2000,3,0,500
5,"tau_B_sq",1.00202627283948,4031.98734851383,4257.66933892368,TRUE,"nonspatial",10000,5001,10,2000,3,0,500
