"model","attempt","iterations","max_rhat","min_ess_bulk","min_ess_tail","passed","elapsed_seconds","rep_id","eff_range","prior_scale"
"nonspatial",1,10000,1.00396822142358,2629.98743387098,2564.25306104948,TRUE,6.06600000000003,4,350,500
"spatial",1,10000,1.0072821679287,944.250373589041,627.063544836023,TRUE,264.95,5,350,500
"nonspatial",1,10000,1.00259847448292,2648.06120014501,2714.35447238572,TRUE,6.35300000000007,5,350,500
"spatial",1,10000,1.00631565835742,1078.79550395071,892.9021566148,TRUE,264.478,6,350,500
"nonspatial",1,10000,1.00194674701765,2511.12941639706,2740.82548987564,TRUE,6.245,6,350,500
"spatial",1,10000,1.0045060874649,977.46383342062,840.321923792407,TRUE,264.519,7,350,500
"nonspatial",1,10000,1.00225918219274,2743.0691901132,2591.0770144555,TRUE,6.31200000000001,7,350,500
"spatial",1,10000,1.00575330869402,990.931280461096,970.555430305955,TRUE,264.93,8,350,500
"nonspatial",1,10000,1.00434789028218,2705.6690191783,2326.07351802124,TRUE,6.28600000000006,8,350,500
"spatial",1,10000,1.01150033054993,698.123231144998,789.223922880176,FALSE,265.025,9,350,500
"spatial",2,20000,1.00562977784657,1462.5419606622,1640.562452968,TRUE,489.39,9,350,500
"nonspatial",1,10000,1.00234652467167,2711.0601434913,2659.9469463379,TRUE,6.16899999999998,9,350,500
"spatial",1,10000,1.00930257830153,764.041371187893,773.168603854821,TRUE,264.734,10,350,500
"nonspatial",1,10000,1.00221398114314,2574.11959921425,2318.32169110103,TRUE,6.36300000000006,10,350,500
"spatial",1,10000,1.00729337070199,1083.39793479083,1114.37538355332,TRUE,264.592,1,750,500
"nonspatial",1,10000,1.00421637424829,2678.89569286932,2105.98947341889,TRUE,6.23699999999997,1,750,500
"spatial",1,10000,1.0046952538726,1171.74970247821,1198.35917318941,TRUE,264.938,2,750,500
"nonspatial",1,10000,1.00196265857609,2758.49607794246,2792.82788332375,TRUE,6.26199999999994,2,750,500
"spatial",1,10000,1.00658446721501,819.488183481119,755.115851578271,TRUE,264.507,3,750,500
"nonspatial",1,10000,1.00242681753797,2523.51326760262,2573.03884173002,TRUE,6.62199999999996,3,750,500
"spatial",1,10000,1.00526796059326,1065.40337658717,990.007257483435,TRUE,265.084,4,750,500
"nonspatial",1,10000,1.00310879163727,2555.09034319925,2536.4973451524,TRUE,6.06899999999996,4,750,500
"spatial",1,10000,1.00521314008293,814.938860414664,519.70258136979,TRUE,268.188,5,750,500
"nonspatial",1,10000,1.00203771013297,2809.31087941566,2515.84284614746,TRUE,6.54499999999996,5,750,500
"spatial",1,10000,1.00868256113943,1095.46301650703,1008.27129191851,TRUE,264.324,6,750,500
"nonspatial",1,10000,1.00198773417907,2468.97582759361,2683.71258345176,TRUE,6.35400000000004,6,750,500
"spatial",1,10000,1.00674867179487,873.736678057965,752.799649323117,TRUE,273.837,7,750,500
"nonspatial",1,10000,1.00182265509059,2614.22725579298,2644.66758757285,TRUE,6.52800000000002,7,750,500
"spatial",1,10000,1.00603789432508,1082.32231492,1239.61651319718,TRUE,266.897,8,750,500
"nonspatial",1,10000,1.00338919329768,2748.39608143467,2422.85425176822,TRUE,6.43100000000004,8,750,500
"spatial",1,10000,1.00915936737473,868.041631314637,737.012654585374,TRUE,267.879,9,750,500
"nonspatial",1,10000,1.00171548972525,2867.8517013169,2840.42339505589,TRUE,6.39999999999998,9,750,500
"spatial",1,10000,1.00641927373105,1017.6196288591,1069.73496606076,TRUE,267.477,10,750,500
"nonspatial",1,10000,1.00279629019653,2674.39457786324,2645.5457949492,TRUE,6.43200000000002,10,750,500
"spatial",1,10000,1.00580425733994,1198.81129161082,1041.62913774156,TRUE,267.199,1,1000,500
"nonspatial",1,10000,1.001732304272,2836.93321899234,2686.05706149171,TRUE,6.43200000000002,1,1000,500
"spatial",1,10000,1.00633846547037,1164.64152389175,1248.55309628276,TRUE,266.924,2,1000,500
"nonspatial",1,10000,1.00180802969324,2655.34037687502,2471.15911126513,TRUE,6.33499999999992,2,1000,500
"spatial",1,10000,1.00820655650275,721.858005714123,792.591381640107,TRUE,266.944,3,1000,500
"nonspatial",1,10000,1.00268349047337,2577.59435246277,2637.79952115412,TRUE,6.67500000000007,3,1000,500
"spatial",1,10000,1.00725996253245,1062.94796851975,1197.07176817119,TRUE,267.06,4,1000,500
"nonspatial",1,10000,1.00300606466591,2484.33584436497,2494.90225859494,TRUE,6.08799999999997,4,1000,500
"spatial",1,10000,1.00632691950806,842.507761171941,983.134208427583,TRUE,267.026,5,1000,500
"nonspatial",1,10000,1.00230934494357,2518.70732169572,2583.35179742075,TRUE,6.42399999999998,5,1000,500
"spatial",1,10000,1.00591586852957,1141.45851539137,928.189054442222,TRUE,267.12,6,1000,500
"nonspatial",1,10000,1.00288708417013,2764.18629588873,2601.4398730152,TRUE,6.06100000000004,6,1000,500
"spatial",1,10000,1.01282304780582,850.679365942133,689.876842825821,FALSE,267.132,7,1000,500
"spatial",2,20000,1.00342321378185,1691.1465807377,1736.77822776849,TRUE,492.24,7,1000,500
"nonspatial",1,10000,1.00243065660499,2635.28580298433,2825.45729212498,TRUE,6.44299999999998,7,1000,500
"spatial",1,10000,1.00508464265292,1174.93207768769,1185.74560359398,TRUE,266.971,8,1000,500
"nonspatial",1,10000,1.00235050032492,2849.37093841484,2678.67917426289,TRUE,6.346,8,1000,500
"spatial",1,10000,1.00464171760712,897.02914869857,951.843669142603,TRUE,268.112,9,1000,500
"nonspatial",1,10000,1.00276061135578,2790.57687220907,2359.92347891687,TRUE,6.48799999999994,9,1000,500
"spatial",1,10000,1.00753327078369,1020.72220821974,1361.02697465857,TRUE,266.86,10,1000,500
"nonspatial",1,10000,1.00223442882849,2563.30768309503,2398.01458355742,TRUE,6.37,10,1000,500
"spatial",1,10000,1.00558803690351,1076.11254446898,1337.56788164584,TRUE,267.249,1,0,250
"nonspatial",1,10000,1.00246424985513,2915.17413504931,2631.58959714791,TRUE,6.34299999999996,1,0,250
"spatial",1,10000,1.00604049793935,1089.16738153766,1141.60429750807,TRUE,267.473,2,0,250
"nonspatial",1,10000,1.00241138679552,2753.69366946071,2343.3011858876,TRUE,6.101,2,0,250
"spatial",1,10000,1.00849655235744,1062.49696181685,994.751942434673,TRUE,266.886,3,0,250
"nonspatial",1,10000,1.00217162138502,2638.6490552023,2649.9962807865,TRUE,6.34500000000003,3,0,250
"spatial",1,10000,1.00671771229891,1297.06663633897,1030.37094556998,TRUE,267.793,4,0,250
"nonspatial",1,10000,1.00167995594439,2403.52464919596,2380.79160230696,TRUE,6.66599999999994,4,0,250
"spatial",1,10000,1.00692415725654,1242.98846463416,1388.38630306268,TRUE,266.816,5,0,250
"nonspatial",1,10000,1.00248682912403,2733.99264319243,2472.20834184299,TRUE,6.79000000000008,5,0,250
"spatial",1,10000,1.00466374984096,1166.28194070171,1294.21156874994,TRUE,267.171,6,0,250
"nonspatial",1,10000,1.00213754446513,2706.87933529196,2744.45204023471,TRUE,6.71900000000005,6,0,250
"spatial",1,10000,1.00672808835016,998.568832592579,1075.36153719044,TRUE,269.376,7,0,250
"nonspatial",1,10000,1.00152234737099,2838.7438990128,2494.07258595975,TRUE,6.66600000000005,7,0,250
"spatial",1,10000,1.00513714112971,1178.57562832279,1321.96683184662,TRUE,269.847,8,0,250
"nonspatial",1,10000,1.00256234704603,2780.57547900874,2473.10096180169,TRUE,6.60000000000002,8,0,250
"spatial",1,10000,1.00444827805123,1188.77852141071,974.757354478694,TRUE,270.619,9,0,250
"nonspatial",1,10000,1.00247419862463,2783.23595795106,2660.66274267329,TRUE,6.3900000000001,9,0,250
"spatial",1,10000,1.00545646811383,1349.64047251462,1410.5178988734,TRUE,271.042,10,0,250
"nonspatial",1,10000,1.00212156078278,2715.4145317722,2119.46260014029,TRUE,6.68599999999992,10,0,250
"spatial",1,10000,1.00876162612035,791.254213311562,478.038718378333,TRUE,271.016,1,50,250
"nonspatial",1,10000,1.00152708573401,2719.27515456451,2243.62926369023,TRUE,6.34799999999996,1,50,250
"spatial",1,10000,1.0092827961392,815.04970408237,460.605546768504,TRUE,270.369,2,50,250
"nonspatial",1,10000,1.00278745197385,2516.19451763192,2566.9618627042,TRUE,6.13499999999999,2,50,250
